iter	Logloss
0	0.6791198026
1	0.667447353
2	0.6522177503
3	0.6393595305
4	0.6310167125
5	0.6197230348
6	0.6100450996
7	0.5965022394
8	0.5817337018
9	0.5706587219
10	0.5612503016
11	0.5473810077
12	0.5386248064
13	0.528768841
14	0.5147127563
15	0.5064960611
16	0.4944697475
17	0.4865470755
18	0.4768095148
19	0.4683602846
20	0.4577323043
21	0.4503878951
22	0.4428287458
23	0.4334205961
24	0.4257416487
25	0.416968025
26	0.4096098351
27	0.4021944451
28	0.3950408697
29	0.3894003558
30	0.3837734663
31	0.3772831619
32	0.3721484923
33	0.3664942634
34	0.3597501016
35	0.353610462
36	0.3483259296
37	0.341488831
38	0.3347133231
39	0.3291068053
40	0.3248288441
41	0.323187573
42	0.3175348282
43	0.3116270828
44	0.3073807764
45	0.3017088318
46	0.2977211857
47	0.2924310112
48	0.2870718265
49	0.2837805176
50	0.2781986451
51	0.2751993465
52	0.2705226612
53	0.265535121
54	0.2624805236
55	0.2581439114
56	0.2547917962
57	0.251411407
58	0.2475610113
59	0.2446296906
60	0.2412534928
61	0.2379262042
62	0.2352248168
63	0.232219336
64	0.2288968492
65	0.2255839252
66	0.2224458814
67	0.2198837018
68	0.2169545579
69	0.2130428863
70	0.2111178946
71	0.2079423642
72	0.2040561604
73	0.2011389852
74	0.1990159464
75	0.1963583064
76	0.1942847538
77	0.1915297961
78	0.1879338527
79	0.1852272153
80	0.1821488667
81	0.1795313835
82	0.1765685606
83	0.1750678301
84	0.1726853919
85	0.1708520913
86	0.1687656689
87	0.1660342407
88	0.1635870862
89	0.1603857899
90	0.1582042837
91	0.1565221763
92	0.1548106933
93	0.1528574228
94	0.1507197905
95	0.1488482809
96	0.1474438
97	0.146036396
98	0.1444543266
99	0.1432811928
