iter	Passed	Remaining
0	6	605
1	10	535
2	15	502
3	20	485
4	25	475
5	30	475
6	35	468
7	40	460
8	45	456
9	50	451
10	54	442
11	59	437
12	64	431
13	69	427
14	75	429
15	81	427
16	86	421
17	91	414
18	95	408
19	100	401
20	105	395
21	109	388
22	114	382
23	119	376
24	123	370
25	127	363
26	132	358
27	136	351
28	141	346
29	146	341
30	150	335
31	155	330
32	160	325
33	164	319
34	169	314
35	186	331
36	190	324
37	195	318
38	199	312
39	204	306
40	208	300
41	213	294
42	217	288
43	222	282
44	226	276
45	230	271
46	235	265
47	240	260
48	244	254
49	249	249
50	253	243
51	257	237
52	262	232
53	266	227
54	271	221
55	278	219
56	283	213
57	287	208
58	292	202
59	296	197
60	301	192
61	305	187
62	310	182
63	315	177
64	319	172
65	324	167
66	328	161
67	333	156
68	337	151
69	342	146
70	346	141
71	351	136
72	356	131
73	360	126
74	365	121
75	370	116
76	374	111
77	379	106
78	383	102
79	388	97
80	392	92
81	397	87
82	402	82
83	406	77
84	411	72
85	415	67
86	420	62
87	424	57
88	429	53
89	433	48
90	438	43
91	442	38
92	447	33
93	451	28
94	456	24
95	460	19
96	465	14
97	469	9
98	473	4
99	478	0
